Phase= 4, Time= 168, Destination=(1,0), Source=(3,3), Packet Value=1100000000000000000000110000001100000000000000000000000100000100
Phase= 5, Time= 174, Destination=(1,1), Source=(2,1), Packet Value=1000000000000000000000010000001000000000000000000000000100000101
Phase= 5, Time= 176, Destination=(1,1), Source=(0,1), Packet Value=1010000000000000000000010000000000000000000000000000000100000101
Phase= 5, Time= 178, Destination=(1,1), Source=(1,0), Packet Value=1000000000000000000000000000000100000000000000000000000100000101
Phase= 5, Time= 180, Destination=(1,1), Source=(1,2), Packet Value=1100000000000000000000100000000100000000000000000000000100000101
Phase= 5, Time= 182, Destination=(1,1), Source=(3,1), Packet Value=1000000000000000000000010000001100000000000000000000000100000101
Phase= 5, Time= 184, Destination=(1,1), Source=(0,0), Packet Value=1010000000000000000000000000000000000000000000000000000100000101
Phase= 5, Time= 186, Destination=(1,1), Source=(1,3), Packet Value=1100000000000000000000110000000100000000000000000000000100000101
Phase= 5, Time= 188, Destination=(1,1), Source=(2,0), Packet Value=1000000000000000000000000000001000000000000000000000000100000101
Phase= 5, Time= 190, Destination=(1,1), Source=(0,2), Packet Value=1110000000000000000000100000000000000000000000000000000100000101
Phase= 5, Time= 192, Destination=(1,1), Source=(2,2), Packet Value=1100000000000000000000100000001000000000000000000000000100000101
Phase= 5, Time= 194, Destination=(1,1), Source=(0,3), Packet Value=1110000000000000000000110000000000000000000000000000000100000101
Phase= 5, Time= 196, Destination=(1,1), Source=(3,0), Packet Value=1000000000000000000000000000001100000000000000000000000100000101
Phase= 5, Time= 198, Destination=(1,1), Source=(2,3), Packet Value=1100000000000000000000110000001000000000000000000000000100000101
Phase= 5, Time= 200, Destination=(1,1), Source=(3,2), Packet Value=1100000000000000000000100000001100000000000000000000000100000101
Phase= 5, Time= 202, Destination=(1,1), Source=(3,3), Packet Value=1100000000000000000000110000001100000000000000000000000100000101
Phase= 6, Time= 208, Destination=(1,2), Source=(2,2), Packet Value=1000000000000000000000100000001000000000000000000000000100000110
Phase= 6, Time= 210, Destination=(1,2), Source=(0,2), Packet Value=1010000000000000000000100000000000000000000000000000000100000110
Phase= 6, Time= 212, Destination=(1,2), Source=(1,1), Packet Value=1000000000000000000000010000000100000000000000000000000100000110
Phase= 6, Time= 214, Destination=(1,2), Source=(1,3), Packet Value=1100000000000000000000110000000100000000000000000000000100000110
Phase= 6, Time= 216, Destination=(1,2), Source=(3,2), Packet Value=1000000000000000000000100000001100000000000000000000000100000110
Phase= 6, Time= 218, Destination=(1,2), Source=(0,1), Packet Value=1010000000000000000000010000000000000000000000000000000100000110
Phase= 6, Time= 220, Destination=(1,2), Source=(1,0), Packet Value=1000000000000000000000000000000100000000000000000000000100000110
Phase= 6, Time= 222, Destination=(1,2), Source=(2,1), Packet Value=1000000000000000000000010000001000000000000000000000000100000110
Phase= 6, Time= 224, Destination=(1,2), Source=(0,3), Packet Value=1110000000000000000000110000000000000000000000000000000100000110
Phase= 6, Time= 226, Destination=(1,2), Source=(2,3), Packet Value=1100000000000000000000110000001000000000000000000000000100000110
Phase= 6, Time= 228, Destination=(1,2), Source=(0,0), Packet Value=1010000000000000000000000000000000000000000000000000000100000110
Phase= 6, Time= 230, Destination=(1,2), Source=(3,1), Packet Value=1000000000000000000000010000001100000000000000000000000100000110
Phase= 6, Time= 232, Destination=(1,2), Source=(2,0), Packet Value=1000000000000000000000000000001000000000000000000000000100000110
Phase= 6, Time= 234, Destination=(1,2), Source=(3,3), Packet Value=1100000000000000000000110000001100000000000000000000000100000110
Phase= 6, Time= 236, Destination=(1,2), Source=(3,0), Packet Value=1000000000000000000000000000001100000000000000000000000100000110
Phase= 7, Time= 242, Destination=(1,3), Source=(2,3), Packet Value=1000000000000000000000110000001000000000000000000000000100000111
Phase= 7, Time= 244, Destination=(1,3), Source=(0,3), Packet Value=1010000000000000000000110000000000000000000000000000000100000111
Phase= 7, Time= 246, Destination=(1,3), Source=(1,2), Packet Value=1000000000000000000000100000000100000000000000000000000100000111
Phase= 7, Time= 248, Destination=(1,3), Source=(3,3), Packet Value=1000000000000000000000110000001100000000000000000000000100000111
Phase= 7, Time= 250, Destination=(1,3), Source=(0,2), Packet Value=1010000000000000000000100000000000000000000000000000000100000111
Phase= 7, Time= 252, Destination=(1,3), Source=(1,1), Packet Value=1000000000000000000000010000000100000000000000000000000100000111
Phase= 7, Time= 254, Destination=(1,3), Source=(2,2), Packet Value=1000000000000000000000100000001000000000000000000000000100000111
Phase= 7, Time= 256, Destination=(1,3), Source=(0,1), Packet Value=1010000000000000000000010000000000000000000000000000000100000111
Phase= 7, Time= 258, Destination=(1,3), Source=(1,0), Packet Value=1000000000000000000000000000000100000000000000000000000100000111
Phase= 7, Time= 260, Destination=(1,3), Source=(3,2), Packet Value=1000000000000000000000100000001100000000000000000000000100000111
Phase= 7, Time= 262, Destination=(1,3), Source=(0,0), Packet Value=1010000000000000000000000000000000000000000000000000000100000111
Phase= 7, Time= 264, Destination=(1,3), Source=(2,1), Packet Value=1000000000000000000000010000001000000000000000000000000100000111
Phase= 7, Time= 266, Destination=(1,3), Source=(3,1), Packet Value=1000000000000000000000010000001100000000000000000000000100000111
Phase= 7, Time= 268, Destination=(1,3), Source=(2,0), Packet Value=1000000000000000000000000000001000000000000000000000000100000111
Phase= 7, Time= 270, Destination=(1,3), Source=(3,0), Packet Value=1000000000000000000000000000001100000000000000000000000100000111
Phase= 8, Time= 276, Destination=(2,0), Source=(3,0), Packet Value=1000000000000000000000000000001100000000000000000000000100001000
Phase= 8, Time= 278, Destination=(2,0), Source=(1,0), Packet Value=1010000000000000000000000000000100000000000000000000000100001000
Phase= 8, Time= 280, Destination=(2,0), Source=(2,1), Packet Value=1100000000000000000000010000001000000000000000000000000100001000
Phase= 8, Time= 282, Destination=(2,0), Source=(3,1), Packet Value=1100000000000000000000010000001100000000000000000000000100001000
Phase= 8, Time= 284, Destination=(2,0), Source=(0,0), Packet Value=1010000000000000000000000000000000000000000000000000000100001000
Phase= 8, Time= 286, Destination=(2,0), Source=(2,2), Packet Value=1100000000000000000000100000001000000000000000000000000100001000
Phase= 8, Time= 288, Destination=(2,0), Source=(3,2), Packet Value=1100000000000000000000100000001100000000000000000000000100001000
Phase= 8, Time= 290, Destination=(2,0), Source=(1,1), Packet Value=1110000000000000000000010000000100000000000000000000000100001000
Phase= 8, Time= 292, Destination=(2,0), Source=(2,3), Packet Value=1100000000000000000000110000001000000000000000000000000100001000
Phase= 8, Time= 294, Destination=(2,0), Source=(3,3), Packet Value=1100000000000000000000110000001100000000000000000000000100001000
Phase= 8, Time= 296, Destination=(2,0), Source=(0,1), Packet Value=1110000000000000000000010000000000000000000000000000000100001000
Phase= 8, Time= 298, Destination=(2,0), Source=(1,2), Packet Value=1110000000000000000000100000000100000000000000000000000100001000
Phase= 8, Time= 300, Destination=(2,0), Source=(0,2), Packet Value=1110000000000000000000100000000000000000000000000000000100001000
Phase= 8, Time= 302, Destination=(2,0), Source=(1,3), Packet Value=1110000000000000000000110000000100000000000000000000000100001000
Phase= 8, Time= 304, Destination=(2,0), Source=(0,3), Packet Value=1110000000000000000000110000000000000000000000000000000100001000
Phase= 9, Time= 310, Destination=(2,1), Source=(3,1), Packet Value=1000000000000000000000010000001100000000000000000000000100001001
Phase= 9, Time= 312, Destination=(2,1), Source=(1,1), Packet Value=1010000000000000000000010000000100000000000000000000000100001001
Phase= 9, Time= 314, Destination=(2,1), Source=(2,0), Packet Value=1000000000000000000000000000001000000000000000000000000100001001
Phase= 9, Time= 316, Destination=(2,1), Source=(2,2), Packet Value=1100000000000000000000100000001000000000000000000000000100001001
Phase= 9, Time= 318, Destination=(2,1), Source=(3,0), Packet Value=1000000000000000000000000000001100000000000000000000000100001001
Phase= 9, Time= 320, Destination=(2,1), Source=(0,1), Packet Value=1010000000000000000000010000000000000000000000000000000100001001
Phase= 9, Time= 322, Destination=(2,1), Source=(2,3), Packet Value=1100000000000000000000110000001000000000000000000000000100001001
Phase= 9, Time= 324, Destination=(2,1), Source=(3,2), Packet Value=1100000000000000000000100000001100000000000000000000000100001001
Phase= 9, Time= 326, Destination=(2,1), Source=(1,0), Packet Value=1010000000000000000000000000000100000000000000000000000100001001
Phase= 9, Time= 328, Destination=(2,1), Source=(3,3), Packet Value=1100000000000000000000110000001100000000000000000000000100001001
Phase= 9, Time= 330, Destination=(2,1), Source=(1,2), Packet Value=1110000000000000000000100000000100000000000000000000000100001001
Phase= 9, Time= 332, Destination=(2,1), Source=(0,0), Packet Value=1010000000000000000000000000000000000000000000000000000100001001
Phase= 9, Time= 334, Destination=(2,1), Source=(1,3), Packet Value=1110000000000000000000110000000100000000000000000000000100001001
Phase= 9, Time= 336, Destination=(2,1), Source=(0,2), Packet Value=1110000000000000000000100000000000000000000000000000000100001001
Phase= 9, Time= 338, Destination=(2,1), Source=(0,3), Packet Value=1110000000000000000000110000000000000000000000000000000100001001
Phase=10, Time= 344, Destination=(2,2), Source=(3,2), Packet Value=1000000000000000000000100000001100000000000000000000000100001010
Phase=10, Time= 346, Destination=(2,2), Source=(1,2), Packet Value=1010000000000000000000100000000100000000000000000000000100001010
Phase=10, Time= 348, Destination=(2,2), Source=(2,1), Packet Value=1000000000000000000000010000001000000000000000000000000100001010
Phase=10, Time= 350, Destination=(2,2), Source=(2,3), Packet Value=1100000000000000000000110000001000000000000000000000000100001010
Phase=10, Time= 352, Destination=(2,2), Source=(3,1), Packet Value=1000000000000000000000010000001100000000000000000000000100001010
Phase=10, Time= 354, Destination=(2,2), Source=(0,2), Packet Value=1010000000000000000000100000000000000000000000000000000100001010
Phase=10, Time= 356, Destination=(2,2), Source=(2,0), Packet Value=1000000000000000000000000000001000000000000000000000000100001010
Phase=10, Time= 358, Destination=(2,2), Source=(3,3), Packet Value=1100000000000000000000110000001100000000000000000000000100001010
Phase=10, Time= 360, Destination=(2,2), Source=(1,1), Packet Value=1010000000000000000000010000000100000000000000000000000100001010
Phase=10, Time= 362, Destination=(2,2), Source=(3,0), Packet Value=1000000000000000000000000000001100000000000000000000000100001010
Phase=10, Time= 364, Destination=(2,2), Source=(1,3), Packet Value=1110000000000000000000110000000100000000000000000000000100001010
Phase=10, Time= 366, Destination=(2,2), Source=(0,1), Packet Value=1010000000000000000000010000000000000000000000000000000100001010
Phase=10, Time= 368, Destination=(2,2), Source=(1,0), Packet Value=1010000000000000000000000000000100000000000000000000000100001010
Phase=10, Time= 370, Destination=(2,2), Source=(0,3), Packet Value=1110000000000000000000110000000000000000000000000000000100001010
Phase=10, Time= 372, Destination=(2,2), Source=(0,0), Packet Value=1010000000000000000000000000000000000000000000000000000100001010
Phase=11, Time= 378, Destination=(2,3), Source=(3,3), Packet Value=1000000000000000000000110000001100000000000000000000000100001011
Phase=11, Time= 380, Destination=(2,3), Source=(1,3), Packet Value=1010000000000000000000110000000100000000000000000000000100001011
Phase=11, Time= 382, Destination=(2,3), Source=(2,2), Packet Value=1000000000000000000000100000001000000000000000000000000100001011
Phase=11, Time= 384, Destination=(2,3), Source=(3,2), Packet Value=1000000000000000000000100000001100000000000000000000000100001011
Phase=11, Time= 386, Destination=(2,3), Source=(0,3), Packet Value=1010000000000000000000110000000000000000000000000000000100001011
Phase=11, Time= 388, Destination=(2,3), Source=(2,1), Packet Value=1000000000000000000000010000001000000000000000000000000100001011
Phase=11, Time= 390, Destination=(2,3), Source=(3,1), Packet Value=1000000000000000000000010000001100000000000000000000000100001011
Phase=11, Time= 392, Destination=(2,3), Source=(1,2), Packet Value=1010000000000000000000100000000100000000000000000000000100001011
Phase=11, Time= 394, Destination=(2,3), Source=(2,0), Packet Value=1000000000000000000000000000001000000000000000000000000100001011
Phase=11, Time= 396, Destination=(2,3), Source=(3,0), Packet Value=1000000000000000000000000000001100000000000000000000000100001011
Phase=11, Time= 398, Destination=(2,3), Source=(0,2), Packet Value=1010000000000000000000100000000000000000000000000000000100001011
Phase=11, Time= 400, Destination=(2,3), Source=(1,1), Packet Value=1010000000000000000000010000000100000000000000000000000100001011
Phase=11, Time= 402, Destination=(2,3), Source=(0,1), Packet Value=1010000000000000000000010000000000000000000000000000000100001011
Phase=11, Time= 404, Destination=(2,3), Source=(1,0), Packet Value=1010000000000000000000000000000100000000000000000000000100001011
Phase=11, Time= 406, Destination=(2,3), Source=(0,0), Packet Value=1010000000000000000000000000000000000000000000000000000100001011
Phase=12, Time= 412, Destination=(3,0), Source=(2,0), Packet Value=1010000000000000000000000000001000000000000000000000000100001100
Phase=12, Time= 414, Destination=(3,0), Source=(3,1), Packet Value=1100000000000000000000010000001100000000000000000000000100001100
Phase=12, Time= 416, Destination=(3,0), Source=(1,0), Packet Value=1010000000000000000000000000000100000000000000000000000100001100
Phase=12, Time= 418, Destination=(3,0), Source=(3,2), Packet Value=1100000000000000000000100000001100000000000000000000000100001100
Phase=12, Time= 420, Destination=(3,0), Source=(2,1), Packet Value=1110000000000000000000010000001000000000000000000000000100001100
Phase=12, Time= 422, Destination=(3,0), Source=(3,3), Packet Value=1100000000000000000000110000001100000000000000000000000100001100
Phase=12, Time= 424, Destination=(3,0), Source=(0,0), Packet Value=1010000000000000000000000000000000000000000000000000000100001100
Phase=12, Time= 426, Destination=(3,0), Source=(2,2), Packet Value=1110000000000000000000100000001000000000000000000000000100001100
Phase=12, Time= 428, Destination=(3,0), Source=(1,1), Packet Value=1110000000000000000000010000000100000000000000000000000100001100
Phase=12, Time= 430, Destination=(3,0), Source=(2,3), Packet Value=1110000000000000000000110000001000000000000000000000000100001100
Phase=12, Time= 432, Destination=(3,0), Source=(0,1), Packet Value=1110000000000000000000010000000000000000000000000000000100001100
Phase=12, Time= 434, Destination=(3,0), Source=(1,2), Packet Value=1110000000000000000000100000000100000000000000000000000100001100
Phase=12, Time= 436, Destination=(3,0), Source=(0,2), Packet Value=1110000000000000000000100000000000000000000000000000000100001100
Phase=12, Time= 438, Destination=(3,0), Source=(1,3), Packet Value=1110000000000000000000110000000100000000000000000000000100001100
